"model","term","estimate","std.error","OR","OR_lower","OR_upper","statistic","p.value","sig"
"Model 2","DBAS_Expectations",0.0964592489124249,0.12889839245411,1.10126470249504,0.855403834674154,1.41779110146668,0.748335546129995,0.455734888195288,""
"Model 2","DBAS_Medications",-0.139259867818708,0.123969996869074,0.87000191357998,0.682330549628396,1.10929128124931,-1.12333525317245,0.263185680402259,""
"Model 2","SURPS_Impulsivity",-0.106595287056579,0.41268887347827,0.898889391556002,0.40033023736598,2.01833901822721,-0.258294550464036,0.796472881083533,""
"Model 2","SURPS_Sensation_Seeking",0.268975811370549,0.406760278490021,1.30862348685502,0.58962158189943,2.90439746935973,0.661263711316757,0.509294123204555,""
"Model 2","SURPS_Hopelessness",-0.325835914971197,0.411215132281149,0.721923634574122,0.322446652755339,1.61630995298983,-0.792373357380296,0.429507713363814,""
"Model 2","SURPS_Anxiety_Sensitivity",0.00326410059832141,0.474334613077645,1.00326943357556,0.39596409499858,2.54202229207331,0.00688143034121591,0.994515298097374,""
"Model 2","CISS_Task",-0.0390642056247439,0.432247480732821,0.961688961323538,0.412190660752193,2.24373268584937,-0.0903746288087452,0.928090751189328,""
"Model 2","CISS_Emotion",-0.636476279277531,0.395573848572448,0.529153732724508,0.24370397133623,1.1489499794403,-1.60899483516025,0.109816566960891,""
"Model 2","CISS_Avoidance",0.229904206582336,0.285114724991768,1.25847945010757,0.719700119518321,2.20059783705889,0.806356832636315,0.421802005075645,""
"Model 2","age",-0.0339565840891532,0.0245751421348471,0.966613470130757,0.921157854555335,1.01431214641192,-1.38174517578897,0.167944172438926,""
"Model 2","sex",-0.0734473278335085,0.318765211458758,0.929185086694184,0.497466459725834,1.73556409372948,-0.230411993508931,0.817921283634897,""
"Model 2","education.L",4.30916261550902,259.251072567673,74.3781797214336,1.55767721758261e-219,3.5515147530109e+222,0.0166215806663025,0.986747665558586,""
"Model 2","education.Q",4.6606940463525,219.107159462172,105.709423942529,3.28347956929028e-185,3.40324405084581e+188,0.0212712996590016,0.983040958467177,""
"Model 2","education.C",-9.98928395654778,518.499162450514,4.58890534371798e-05,0,Inf,-0.0192657668130779,0.984639707780606,""
"Model 2","education^4",7.06772818323313,391.948496393159,1173.47907426658,0,Inf,0.0180322880385375,0.985623030428281,""
"Model 2","income.L",-1.41870118210581,1.32694498606972,0.242028163352815,0.0179617037898597,3.26125141251952,-1.06914845528591,0.286460508069706,""
"Model 2","income.Q",0.955479369368952,1.1368892118177,2.59991660462543,0.280039816036015,24.1378759873834,0.840433139339317,0.401790299646196,""
"Model 2","income.C",-0.82931460875939,0.723258148242762,0.436348253125765,0.105726407876077,1.80087266588189,-1.14663707664311,0.252883434562465,""
"Model 2","income^4",0.17231699579603,0.410944442634761,1.18805438177307,0.530925211778418,2.65851608237298,0.419319445449178,0.675347298078229,""
"Model 2","employment.L",-11.4480312119822,807.70729079086,1.06704618147253e-05,0,Inf,-0.0141734900037525,0.988699378233593,""
"Model 2","employment.Q",-8.79862496851741,602.029620889537,0.00015094048038092,0,Inf,-0.0146149369785442,0.988347434251226,""
"Model 2","employment.C",-2.42951243617634,269.236685318398,0.0880797666227816,5.83422140416085e-231,1.32974817904428e+228,-0.00902370504711571,0.992805193813666,""
"Model 2","driving_freq.L",-0.0448836785089011,0.524973434294773,0.956108691353577,0.341696757328254,2.67530730121524,-0.0854970472347728,0.931936053154278,""
"Model 2","driving_freq.Q",-0.0611008670468249,0.456408590662768,0.940728346500112,0.384557596757697,2.30126729876159,-0.133873174819295,0.893602190892253,""
"Model 2","driving_freq.C",0.171846409932846,0.414212974521126,1.18749543170363,0.527286613244764,2.67434326018517,0.414874522295006,0.678601448106039,""
"Model 3","(Intercept)",-0.624491939186403,1.61646317483794,0.535533442969941,0.0225333293389075,12.7276384339725,-0.386332301847218,0.699723743956311,""
