Model,term,Imp_OR_CI,Imp_p,Imp_sig,CC_OR_CI,CC_p,CC_sig,Sig_change
Model_5,CISS_Task,"0.97 [0.40, 2.36]",0.9475,,"1.02 [0.47, 2.21]",0.9527,,✓ Consistent
Model_5,DBAS_Consequences,"0.70 [0.56, 0.89]",0.0043,**,"1.06 [0.85, 1.32]",0.608,,⚠️  Lost significance in CC
Model_5,DBAS_Expectations,"1.05 [0.79, 1.40]",0.7328,,"1.02 [0.81, 1.29]",0.8705,,✓ Consistent
Model_5,DBAS_Medications,"0.89 [0.68, 1.17]",0.4067,,"0.78 [0.62, 0.99]",0.0416,*,⚠️  Gained significance in CC
Model_5,DBAS_Worry_Helplessness,"1.14 [0.89, 1.47]",0.3133,,"0.91 [0.71, 1.17]",0.46,,✓ Consistent
Model_5,SURPS_Anxiety_Sensitivity,"1.01 [0.38, 2.67]",0.9813,,"0.96 [0.39, 2.38]",0.9248,,✓ Consistent
Model_5,SURPS_Hopelessness,"0.66 [0.28, 1.53]",0.3331,,"0.84 [0.38, 1.86]",0.6601,,✓ Consistent
Model_5,SURPS_Impulsivity,"0.87 [0.37, 2.05]",0.7469,,"0.73 [0.26, 2.03]",0.5433,,✓ Consistent
Model_5,SURPS_Sensation_Seeking,"1.11 [0.45, 2.71]",0.8185,,"1.29 [0.69, 2.40]",0.4277,,✓ Consistent
Model_5,age,"0.97 [0.92, 1.01]",0.1715,,"0.96 [0.91, 1.01]",0.1144,,✓ Consistent
Model_5,driving_freq,NA,NA,NA,"0.82 [0.55, 1.23]",0.3415,,✓ Consistent
Model_5,driving_freq.C,"1.17 [0.51, 2.69]",0.7085,,NA,NA,NA,✓ Consistent
Model_5,driving_freq.L,"1.00 [0.35, 2.91]",0.9955,,NA,NA,NA,✓ Consistent
Model_5,driving_freq.Q,"0.81 [0.32, 2.06]",0.6573,,NA,NA,NA,✓ Consistent
Model_5,education,NA,NA,NA,"1.45 [0.97, 2.17]",0.0716,,✓ Consistent
Model_5,education.C,"0.00 [0.00, Inf]",0.9842,,NA,NA,NA,✓ Consistent
Model_5,education.L,"77.49 [0.00, 578677524731152684820857744845704422721946638289458385718349475370708278343395478980531039368836424244773651399826962059735388800671428818258323099327394394131826526537896407938162018033710794911660334686896639319212032.00]",0.9864,,NA,NA,NA,✓ Consistent
Model_5,education.Q,"113.78 [0.00, 222537427561463419775054585638354035352181304753141084426698383174812529832912605350054543446199777978719958751069014538980673911768009093997076586380963430909016245457669735591207501824.00]",0.9825,,NA,NA,NA,✓ Consistent
Model_5,education^4,"1176.33 [0.00, Inf]",0.9854,,NA,NA,NA,✓ Consistent
Model_5,employment,NA,NA,NA,"1.00 [0.58, 1.72]",0.9954,,✓ Consistent
Model_5,employment.C,"0.08 [0.00, 28888352037292399997439940687765287729799047186362400498656115565531253519433893840573265778168550314511565547169543497430675551357380874257318785670774113014645583959696449228111653100971578503878079557046451506989697983315968.00]",0.9924,,NA,NA,NA,✓ Consistent
Model_5,employment.L,"0.00 [0.00, Inf]",0.9886,,NA,NA,NA,✓ Consistent
Model_5,employment.Q,"0.00 [0.00, Inf]",0.9883,,NA,NA,NA,✓ Consistent
Model_5,income,NA,NA,NA,"0.76 [0.55, 1.06]",0.1088,,✓ Consistent
Model_5,income.C,"0.40 [0.11, 1.55]",0.1876,,NA,NA,NA,✓ Consistent
Model_5,income.L,"0.22 [0.02, 2.43]",0.2185,,NA,NA,NA,✓ Consistent
Model_5,income.Q,"2.96 [0.37, 23.68]",0.3084,,NA,NA,NA,✓ Consistent
